sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKWeatherHumidity,HKAverageMETs,HKWeatherTemperature,HKIndoorWorkout,HKTimeZone,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-27 18:56:01 +0000,2022-08-27 19:05:48 +0000,Running,257.60879397392273,sec,83.5078 kcal,1151.52 m,,,4900 %,16.5148 kcal/hr·kg,86 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-28 20:04:09 +0000,2022-08-28 21:35:06 +0000,Running,5128.681135058403,sec,1122.5 kcal,14362.4 m,,,5000 %,11.0599 kcal/hr·kg,89.6 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-28 21:36:15 +0000,2022-08-28 21:45:14 +0000,Running,539.1329489946365,sec,115.818 kcal,1281.51 m,,,5400 %,11.8818 kcal/hr·kg,87.8 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-28 21:47:44 +0000,2022-08-28 22:44:01 +0000,Running,3322.3238030672073,sec,701.894 kcal,8056.27 m,,,5400 %,10.9875 kcal/hr·kg,87.8 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-31 21:20:16 +0000,2022-08-31 21:23:40 +0000,Running,94.6150199174881,sec,19.2053 kcal,201.622 m,,,3600 %,3.5622 kcal/hr·kg,82.4 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-08-31 21:23:57 +0000,2022-08-31 22:19:56 +0000,Running,3231.8308349847794,sec,832.689 kcal,11288.1 m,,,,13.1894 kcal/hr·kg,,0,America/New_York,10690 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-03 13:37:05 +0000,2022-09-03 15:33:56 +0000,Running,6957.683555006981,sec,1699.96 kcal,21360.8 m,,,8300 %,12.5124 kcal/hr·kg,60.8 degF,0,America/New_York,35855 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-03 15:34:41 +0000,2022-09-03 15:55:22 +0000,Running,1175.1127790212631,sec,253.03 kcal,2987.57 m,,,,11.249 kcal/hr·kg,,0,America/New_York,2992 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-11 19:57:45 +0000,2022-09-11 20:45:45 +0000,Running,2462.3205280303955,sec,529.747 kcal,7010.93 m,,,9000 %,10.855 kcal/hr·kg,75.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-14 21:09:44 +0000,2022-09-14 21:29:17 +0000,Running,756.2546010017395,sec,218.74 kcal,2867.24 m,,,,12.5278 kcal/hr·kg,,0,America/New_York,2399 cm
