sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:37 +0000,2023-05-05 20:54:38 +0000,mi,0.00035005443686602375,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:39 +0000,2023-05-05 20:54:40 +0000,mi,5.6272103638135243e-05,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:40 +0000,2023-05-05 20:54:41 +0000,mi,0.00035302802843987775,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:41 +0000,2023-05-05 20:54:42 +0000,mi,0.00027285710584627727,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:42 +0000,2023-05-05 20:54:43 +0000,mi,0.0004031231255715907,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:43 +0000,2023-05-05 20:54:44 +0000,mi,0.00043878848015344317,,
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:54:44 +0000,2023-05-05 21:06:27 +0000,mi,1.0311162769652849,3:BFFE9B66-2728-4046-88A4-912AFCC37878:705012884.34753:705013587.00359:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:06:27 +0000,2023-05-05 21:08:27 +0000,mi,0.3070246235293856,3:BFFE9B66-2728-4046-88A4-912AFCC37878:705013587.00359:705013707.00468:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:08:27 +0000,2023-05-05 21:10:26 +0000,mi,0.3306725580668005,3:BFFE9B66-2728-4046-88A4-912AFCC37878:705013707.00468:705013826.00576:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:10:26 +0000,2023-05-05 21:12:45 +0000,mi,0.23146278334303075,3:BFFE9B66-2728-4046-88A4-912AFCC37878:705013826.00576:705013965.00703:119,1
