sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKWeatherTemperature,HKWeatherHumidity,HKIndoorWorkout,HKAverageMETs,HKTimeZone
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca67b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 23:00:42 +0000,2022-09-21 23:49:48 +0000,FunctionalStrengthTraining,2945.3429419994354,sec,325.458 kcal,,,,82.4 degF,4900 %,0,6.41645 kcal/hr·kg,America/New_York
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca67b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-14 23:55:40 +0000,2023-05-15 00:25:40 +0000,FunctionalStrengthTraining,1791.50819003582,sec,90.4577 kcal,,,,69.8 degF,2400 %,0,3.82751 kcal/hr·kg,America/New_York
