sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKAverageMETs,HKIndoorWorkout,HKWeatherTemperature,HKWeatherHumidity,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-03-12 23:45:42 +0000,2023-03-13 00:45:49 +0000,Cycling,3604.6984919309616,sec,605.804 kcal,,,,America/New_York,9.69567 kcal/hr·kg,1,41 degF,7000 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-03-16 20:24:32 +0000,2023-03-16 21:09:27 +0000,Cycling,2693.335142016411,sec,488.987 kcal,,,,America/New_York,10.3833 kcal/hr·kg,1,64.4 degF,1400 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-03-18 12:04:31 +0000,2023-03-18 14:12:46 +0000,Cycling,7691.907209038734,sec,1044.01 kcal,,,,America/New_York,8.06952 kcal/hr·kg,1,42.8 degF,4800 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-04-09 00:28:10 +0000,2023-04-09 02:24:08 +0000,Cycling,6955.484250068665,sec,1236.71 kcal,,,,America/New_York,10.2439 kcal/hr·kg,1,48.2 degF,3500 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-04-22 15:46:57 +0000,2023-04-22 18:46:53 +0000,Cycling,10166.541780948639,sec,1483.52 kcal,,,,America/New_York,8.56096 kcal/hr·kg,1,75.2 degF,4700 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-04-26 20:08:00 +0000,2023-04-26 21:09:55 +0000,Cycling,3713.7350249290466,sec,709.631 kcal,,,,America/New_York,10.9499 kcal/hr·kg,1,62.6 degF,5200 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-04-29 00:30:24 +0000,2023-04-29 01:30:31 +0000,Cycling,3601.2898449897766,sec,640.764 kcal,,,,America/New_York,10.2898 kcal/hr·kg,1,53.6 degF,9200 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-04-29 17:09:51 +0000,2023-04-29 21:41:15 +0000,Cycling,16282.013260006905,sec,2785.91 kcal,,,,America/New_York,9.93586 kcal/hr·kg,1,62.6 degF,7300 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 20:59:27 +0000,2023-05-05 21:13:36 +0000,Cycling,834.5090473890305,sec,58.4834 kcal,3098.07 m,,,America/New_York,5.2589 kcal/hr·kg,0,66.2 degF,3600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:13:46 +0000,2023-05-05 21:35:28 +0000,Cycling,1148.9106310606003,sec,131.333 kcal,5907.53 m,,,America/New_York,7.11061 kcal/hr·kg,0,66.2 degF,3500 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:35:28 +0000,2023-05-05 21:54:40 +0000,Cycling,1056.1567299365997,sec,168.321 kcal,6416.33 m,,,America/New_York,9.39934 kcal/hr·kg,0,66.2 degF,3600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-09 20:43:39 +0000,2023-05-09 21:43:23 +0000,Cycling,3581.8187079429626,sec,608.114 kcal,19109.8 m,,,America/New_York,9.97239 kcal/hr·kg,0,69.8 degF,2800 %,
HKWorkoutTypeIdentifier,Ride with GPS,5,"iPhone11,8",,2023-05-14 12:30:56 +0000,2023-05-14 14:50:07 +0000,Cycling,8351.0,sec,,23.9839 m,,,,,,,,
HKWorkoutTypeIdentifier,Ride with GPS,5,"iPhone11,8",,2023-05-14 14:51:00 +0000,2023-05-14 14:51:05 +0000,Cycling,5.0010000467300415,sec,,0.120874 m,,,,,,,,
HKWorkoutTypeIdentifier,Ride with GPS,5,"iPhone11,8",,2023-05-14 14:51:22 +0000,2023-05-14 14:53:57 +0000,Cycling,63.0,sec,,193.258 m,,,,,,,,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-14 14:51:31 +0000,2023-05-14 21:12:31 +0000,Cycling,20884.268624067307,sec,2950.3 kcal,96589.3 m,,,America/New_York,8.17179 kcal/hr·kg,0,66.2 degF,3500 %,13276 cm
